latitude,longitude,gnn+lstm,gnn,cnn+lstm,cnn
20.595,92.335,0.74,0.8,0.76,0.71
20.625,92.325,0.7,0.78,0.77,0.74
20.745,92.335,0.71,0.74,0.75,0.74
20.745,92.345,0.72,0.74,0.75,0.75
20.755,92.325,0.7,0.75,0.75,0.74
20.755,92.335,0.71,0.76,0.76,0.76
20.755,92.345,0.68,0.74,0.75,0.76
20.765,92.315,0.72,0.76,0.75,0.73
20.765,92.325,0.67,0.74,0.74,0.73
20.765,92.335,0.68,0.75,0.73,0.74
20.775,92.315,0.72,0.77,0.75,0.73
20.775,92.325,0.69,0.75,0.74,0.72
20.775,92.335,0.69,0.75,0.74,0.73
20.785,92.305,0.73,0.76,0.75,0.73
20.785,92.315,0.73,0.76,0.75,0.73
20.785,92.325,0.71,0.76,0.74,0.72
20.785,92.335,0.72,0.76,0.73,0.73
20.795,92.305,0.7,0.75,0.74,0.73
20.795,92.315,0.7,0.75,0.74,0.73
20.795,92.325,0.72,0.77,0.75,0.73
20.805,92.295,0.68,0.73,0.73,0.71
20.805,92.305,0.66,0.73,0.72,0.71
20.805,92.315,0.65,0.71,0.72,0.7
20.805,92.325,0.61,0.68,0.67,0.64
20.815,92.295,0.65,0.73,0.72,0.72
20.815,92.305,0.66,0.72,0.72,0.71
20.815,92.315,0.65,0.71,0.71,0.7
20.815,92.325,0.56,0.63,0.58,0.54
20.825,92.285,0.65,0.71,0.72,0.71
20.825,92.295,0.66,0.72,0.72,0.71
20.825,92.305,0.66,0.73,0.72,0.71
20.825,92.315,0.67,0.72,0.72,0.71
20.825,92.325,0.65,0.7,0.66,0.64
20.835,92.285,0.65,0.71,0.72,0.72
20.835,92.295,0.65,0.71,0.72,0.72
20.835,92.305,0.65,0.7,0.73,0.72
20.835,92.315,0.67,0.73,0.72,0.72
20.845,92.275,0.66,0.73,0.73,0.72
20.845,92.285,0.65,0.71,0.72,0.72
20.845,92.295,0.65,0.71,0.72,0.72
20.845,92.305,0.65,0.71,0.74,0.74
20.845,92.315,0.66,0.72,0.73,0.72
20.855,92.275,0.83,0.78,0.74,0.79
20.855,92.285,0.82,0.78,0.73,0.79
20.855,92.295,0.83,0.77,0.73,0.79
20.855,92.305,0.68,0.7,0.73,0.74
20.855,92.315,0.7,0.72,0.72,0.72
20.865,92.265,0.83,0.78,0.73,0.78
20.865,92.275,0.83,0.79,0.74,0.79
20.865,92.285,0.83,0.79,0.73,0.79
20.865,92.295,0.83,0.78,0.73,0.79
20.865,92.305,0.64,0.69,0.7,0.7
20.875,92.255,0.83,0.79,0.73,0.78
20.875,92.265,0.83,0.78,0.73,0.78
20.875,92.275,0.84,0.79,0.74,0.79
20.875,92.285,0.84,0.78,0.74,0.8
20.875,92.295,0.83,0.78,0.74,0.8
20.875,92.305,0.64,0.67,0.72,0.71
20.885,92.255,0.83,0.79,0.73,0.78
20.885,92.265,0.84,0.79,0.73,0.78
20.885,92.275,0.84,0.79,0.74,0.79
20.885,92.285,0.84,0.8,0.75,0.8
20.885,92.295,0.83,0.78,0.75,0.81
20.895,92.245,0.66,0.73,0.74,0.73
20.895,92.255,0.83,0.79,0.73,0.79
20.895,92.265,0.84,0.8,0.73,0.79
20.895,92.275,0.84,0.8,0.75,0.8
20.895,92.285,0.84,0.8,0.76,0.81
20.905,92.235,0.66,0.69,0.72,0.72
20.905,92.245,0.65,0.72,0.72,0.72
20.905,92.255,0.66,0.71,0.73,0.73
20.905,92.265,0.67,0.71,0.73,0.74
20.905,92.275,0.63,0.7,0.72,0.74
20.905,92.285,0.59,0.67,0.69,0.7
20.915,92.235,0.64,0.69,0.72,0.73
20.915,92.245,0.66,0.7,0.72,0.73
20.915,92.255,0.66,0.7,0.72,0.73
20.915,92.265,0.66,0.71,0.73,0.74
20.925,92.225,0.62,0.68,0.72,0.73
20.925,92.235,0.63,0.69,0.72,0.73
20.925,92.245,0.65,0.69,0.72,0.73
20.925,92.255,0.66,0.72,0.72,0.73
